company,name,title,linkedin_url,other_contact,why_fit,confidence,public_email
Paystack,Shola Akinlade,"Cofounder / CEO",https://www.linkedin.com/in/shollsman,,"Exec owner of revenue/strategy; can route to Growth/Partnerships/Operations quickly for automation initiatives.",med,
Paystack,Samson Oyaniyi,"Financial Partnerships Analyst @ Paystack",https://ng.linkedin.com/in/samsonoyaniyi,,"Aligned to partnership workflows (bank/fintech relationships, enablement) that benefit from automation.",low,
Moniepoint,Efemena Ogie,"Head of Partnerships",https://ng.linkedin.com/in/efemena-ogie-a504a8297,,"Owns partner acquisition/onboarding and scalable partner operations—prime surface for revenue/ops automation.",high,
Moniepoint,Tosin Eniolorunda,"CEO",https://uk.linkedin.com/in/tosin-eniolorunda-46833618,,"Exec sponsor for growth/ops tooling; can direct internally to Partnerships/Growth/Ops owners.",med,
Flutterwave,Israel Babajide,"Projects & Payment Partnerships @ Flutterwave",https://ng.linkedin.com/in/babajide-israel-oroh,,"Partnership execution role where automation improves partner onboarding, reporting, and payment-ops coordination.",med,
Flutterwave,Jennifer Onuchukwu,"Team Lead Customer Experience @ Flutterwave",https://ng.linkedin.com/in/jennifer-onuchukwu-81908419b,,"CX leadership is a strong owner for support automation, ticket deflection, and revenue-impacting customer ops.",med,
Kuda,Esther A.,"Head, Consumer Partnerships at Kuda",https://ng.linkedin.com/in/esther-a-20922069,,"Owns consumer partnerships; automation can speed partner activation and lifecycle comms.",med,
Kuda,Lourens Schnettler,"Head of Finance and Growth at Kuda",https://za.linkedin.com/in/lourens-schnettler-3786a0156,,"Growth + finance leadership often owns analytics/rev-ops systems; good gatekeeper for ROI-driven automation.",med,
Cowrywise,Razaq Ahmed,"CEO/Co-founder",https://ng.linkedin.com/in/razaqa,,"Exec sponsor likely to prioritize scalable growth + operational efficiency; can delegate to marketing/ops owners.",med,
Cowrywise,Timileyin Joel,"Ass. Growth Manager, Cowrywise",https://ng.linkedin.com/in/timijoel,,"Growth role close to funnel experiments and lifecycle messaging—good for marketing automation discussions.",low,
PiggyVest,Terry Kanu,"Chief, Partnerships at Piggyvest",https://ng.linkedin.com/in/terrykanu,,"Senior partnerships owner; automation helps partner onboarding, renewals, and revenue tracking.",high,
PiggyVest,Ayo Akinola,"Co-Founder",https://ng.linkedin.com/in/ayoakinola,,"Founder-level sponsor for ops/revenue automation; can fast-track intros to partnerships/growth/ops.",med,
Hotels.ng,Edidiong Akpan,"Head Of Retail Operations @ Hotels.ng",https://ng.linkedin.com/in/edidiong-akpan-690971163,,"Operations lead: strong owner for process automation across retail ops, customer fulfilment, and internal workflows.",med,
Hotels.ng,Edith Bello,"Lead - Corporate Accounts at Hotels.ng",https://ng.linkedin.com/in/edithbello,,"Owns B2B/corporate account workflows—good fit for revenue ops automation and customer lifecycle improvements.",low,
Printivo,Temitope Babatunde Ekundayo,"CEO (Printivo) / former Head of Growth",https://ng.linkedin.com/in/temitope-ekundayo-,,"Former growth leader and current exec—good sponsor for automation across marketing, sales ops, and fulfilment.",med,
Remita,John Nwachukwu,"Head Private and Corporate Business (Remita Payment Services)",https://ng.linkedin.com/in/john-nwachukwu,,"Owns corporate/private segment growth & operations; automation can improve onboarding, support, and renewals.",med,
Remita,Adeolu Adesina,"Business Development @ Remita",https://ng.linkedin.com/in/adeoluadesina,,"BD role close to pipeline and integrations; automation improves lead qualification, handoffs, and reporting.",low,
Andela,Geoff MacNeil,"Chief Revenue Officer",https://www.linkedin.com/in/geoff-macneil-365a0aa,,"CRO is ultimate owner for revenue systems and scaling acquisition/retention automation.",high,
Andela,KJ (Kennith) J.,"SVP @ Andela | Growth Leader",https://www.linkedin.com/in/kennithjackson,,"Growth executive likely owns GTM ops and automation initiatives impacting pipeline, onboarding, and CX.",med,
