Company,RecommendedEmail,BackupEmail,SourceURL,Confidence
Paystack,hello@paystack.com,reportfraud@paystack.com,https://paystack.com/contact,High
Moniepoint,info@moniepoint.com,,https://moniepoint.com/contact,High
Flutterwave,hi@flutterwavego.com,,https://flutterwave.com/,High
Kuda Business,help@kuda.com,,https://kuda.com/,Medium
Cowrywise,support@cowrywise.com,,https://cowrywise.com/,Medium
PiggyVest,contact@piggyvest.com,,https://www.piggyvest.com/privacy,High
Hotels.ng,partnerships@hotels.ng,reservations@hotels.ng,https://hotels.ng/about,High
Printivo,,,https://printivo.com/contact,Low
Remita,info@remita.net,,https://remita.net/,Medium
Andela,privacy@andela.com,accessibility@andela.com,https://andela.com/privacy-policy,Medium
